# de_language_admin.txt - this file is for the internationalization of the astGUIclient 
# admin web pages. The associated install.pl file will take the language as an 
# argument and alter the php scripts to the language typed in the command line:
# example: ./install.pl --language=de
# current languages in the file:
# - English - (en) no alterations
# - German - (de) first column
***LANGUAGES***
en-English|de-Deutsch|
***FILES***
astguiclient|admin.php|0
astguiclient|remote_inbound.php|0
astguiclient|phone_stats.php|0
astguiclient|inbound_popup.php|0
astguiclient|AST_inboundEXTstats.php|0
astguiclient|dbconnect.php|1
vicidial|admin.php|0
vicidial|dbconnect.php|1
vicidial|AST_VICIDIAL_hopperlist.php|0
vicidial|AST_agent_time_sheet.php|0
vicidial|user_status.php|0
vicidial|server_stats.php|0
vicidial|AST_VDADstats.php|0
vicidial|AST_timeonVDAD.php|0
vicidial|AST_timeonVDAD_closer.php|0
vicidial|AST_timeonVDADall.php|0
vicidial|AST_timeoncall.php|0
vicidial|AST_timeonpark.php|0
vicidial|listloader.php|0
vicidial|listloaderMAIN.php|0
vicidial|new_listloader_superL.php|0
vicidial|count.htm|1
vicidial|help.gif|1
astguiclient|help.gif|1
vicidial|user_stats.php|0
vicidial|remote_dispo.php|0
vicidial|group_hourly_stats.php|0
vicidial|admin_search_lead.php|0
vicidial|admin_modify_lead.php|0
vicidial|AST_CLOSERstats.php|0
vicidial|vdremote.php|0
vicidial|AST_agent_performance_detail.php|0
vicidial|AST_agent_performance.php|0
vicidial|AST_server_performance.php|0
vicidial|AST_admin_log_display.php|0
vicidial|AST_timeonVDADall_SIPmonitor.php|0
***TRANSLATIONS***||||
### special translations that should stay at the top of the file ###
BORDER|Border|
VALUE=SUBMIT|VALUE=SUBMIT|
TYPE=SUBMIT|TYPE=Submit|
\.\/images\/|../agc/images/|
help.gif|help.gif|
### BEGIN translation phrases through 1.1.11 release ###
English|Englisch|
Spanish|Spanisch|
French|Französisch|
German|Deutsch|
Italian|Italienisch|
You have now logged out. Thank you|Sie haben jetzt heraus geloggt. Danke|
Invalid Username\/Password|Unzulässiges Username/Password|
ASTERISK ADMIN: Administration|STERNCHEN ADMIN: Leitung|
PHONES TABLE|TELEFON-TABELLE|
