# fr_language_admin.txt - this file is for the internationalization of the astGUIclient 
# admin web pages. The associated install.pl file will take the language as an 
# argument and alter the php scripts to the language typed in the command line:
# example: ./install.pl --language=fr
# current languages in the file:
# - English - (en) no alterations
# - French - (fr) first column
***LANGUAGES***
en-English|fr-French|
***FILES***
vicidial|admin.php|0
vicidial|dbconnect.php|1
vicidial|AST_VICIDIAL_hopperlist.php|0
vicidial|AST_agent_time_sheet.php|0
vicidial|user_status.php|0
vicidial|server_stats.php|0
vicidial|AST_VDADstats.php|0
vicidial|AST_timeonVDAD.php|0
vicidial|AST_timeonVDAD_closer.php|0
vicidial|AST_timeonVDADall.php|0
vicidial|AST_timeoncall.php|0
vicidial|AST_timeonpark.php|0
vicidial|listloader.php|0
vicidial|listloaderMAIN.php|0
vicidial|new_listloader_superL.php|0
vicidial|count.htm|1
vicidial|help.gif|1
vicidial|listloader.pl|1
vicidial|listloader_rowdisplay.pl|1
vicidial|listloader_super.pl|1
vicidial|user_stats.php|0
vicidial|remote_dispo.php|0
vicidial|group_hourly_stats.php|0
vicidial|admin_search_lead.php|0
vicidial|admin_modify_lead.php|0
vicidial|AST_CLOSERstats.php|0
vicidial|vdremote.php|0
vicidial|AST_agent_performance_detail.php|0
vicidial|AST_agent_performance.php|0
vicidial|AST_server_performance.php|0
vicidial|AST_admin_log_display.php|0
vicidial|AST_timeonVDADallSUMMARY.php|0
vicidial|inbound_popup.php|0
vicidial|AST_inboundEXTstats.php|0
vicidial|welcome.php|0
***TRANSLATIONS***||||
### special translations that should stay at the top of the file ###
BORDER|BORDER|
VALUE=SUBMIT|VALUE=VALIDER|
TYPE=SUBMIT|TYPE=Submit|
\.\/images\/|../agc/images/|
help.gif|help.gif|
### BEGIN translation phrases through 1.1.11 release ###
English|Anglais|
Spanish|Espagnol|
French|Français|
German|Allemand|
Italian|Italien|
You have now logged out. Thank you|Vous êtes maintenant déconnecté. Merci.|
Invalid Username\/Password|Login ou mot de passe invalide|
ASTERISK ADMIN: Administration|ASTERISK ADMIN: Administration|
PHONES TABLE|TABLE DES TELEPHONES|
Phone extension -<\/B> This field is where you put the phones name as it appears to Asterisk not including the protocol or slash at the beginning. For Example: for the SIP phone SIP\/test101 the Phone extension would be test101. Also, for IAX2 phones make sure you use the full phones name: IAX2\/IAXphone1@IAXphone1 would be IAXphone1@IAXphone1. For Zap phones make sure you put the full channel: Zap\/25-1 would be 25-1.  Another note, make sure you set the Protocol below correctly for your type of phone.|Extension du téléphone -</B> C'est dans ce champ qu'il faut mettre le nom du téléphone comme il apparait dans Asterisk sans mettre le protocole ou le slash du début. Par exemple: pour le téléphone SIP SIP/test101 l'extension sera test101. De même pour les téléphones IAX2 assurez vous d'utiliser le nom complet du téléphone : pour IAX2/IAXphone1@IAXphone1 ce sera IAXphone1@IAXphone1. Pour les téléphones ZAP assurez vous de mettre le channel complet: pour Zap/25-1 ce sera 25-1. De plus, assurez vous d'avoir mis le bon protocole en dessous pour votre téléphone.|
Dial Plan Number -<\/B> This field is for the number you dial to have the phone ring. This number is defined in the extensions.conf file of your Asterisk server|Numéro dans le Dial Plan -</B> Ce champ est pour le numéro utilisé pour appeler ce téléphone. Ce numéro est défini dans le fichier extensions.conf du serveur Asterisk|
Voicemail Box -<\/B> This field is for the voicemail box that the messages go to for the user of this phone. We use this to check for voicemail messages and for the user to be able to use the VOICEMAIL button on astGUIclient app|Boîte vocale -</B> Ce champ est pour la boîte vocale vers laquelle iront les messages pour l'utilisateur de ce téléphone. Il est utilisé pour vérifier la présence de messages et pour permettre à l'utilisateur d'utiliser le bouton VOICEMAIL dans l'application astGUIclient|
Outbound CallerID -<\/B> This field is where you would enter the callerID number that you would like to appear on outbound calls placed form the astguiclient web-client. This does not work on RBS, non-PRI, T1\/E1s|CallerID sortant -</B> Ce champ est celui dans lequel vous entrez le numéro callerID que vous souhaitez voir apparaître lors d'appels externes passés depuis le client web astguiclient. Cela ne fonctionne pas avec RBS, non-PRI, T1/E1s|
Phone IP address -<\/B> This field is for the phone's IP address if it is a VOIP phone. This is an optional field|Adresse IP du téléphone -</B> Ce champ est pour l'adresse IP du téléphone si c'est un téléphone VOIP. Ce champ est optionnel|
Computer IP address -<\/B> This field is for the user's computer IP address. This is an optional field|Adresse IP de l'ordinateur -</B> Ce champ est pour l'adresse IP de l'ordinateur. C'est un champ optionel|
Server IP -<\/B> This menu is where you select which server the phone is active on|IP du serveur -</B> Ce champ est celui où vous choisissez le serveur sur lequel est activé le téléphone|
Login -<\/B> The login used for the phone user to get to admin functions|Login -</B> Le login utilisé par l'utilsateur du téléphone pour accéder aux fonctions d'administration|
Password -<\/B> The password used for the phone user to get to admin functions|Mot de Passe -</B> Le mot de passe utilisé par l'utilisateur du téléphone pour accéder aux fonctions d'administration|
Status -<\/B> The status of the phone in the system, ACTIVE and ADMIN allow for GUI clients to work. ADMIN allows access to this administrative web site. All other statuses do not allow GUI or Admin web access|Statut -</B> C'est le statut du téléphone dans le système, ACTIVE et ADMIN autorisent les clients graphiques à fonctionner. ADMIN autorise l'acces à l'administration de ce site. Tous les autres statuts n'autorisent pas l'accès aux clients graphiques ou à l'administration|
Active Account -<\/B> Whether the phone is active to put it in the list in the GUI client|Compte actif -</B> Indique si le téléphone est actif pour le mettre dans la liste dans le client GUI|
Phone Type -<\/B> Purely for administrative notes|Type de téléphone -</B> Seuelement pour les notes administratives|
Full Name -<\/B> Used by the GUIclient in the list of active phones|Nom complet -</B> Utilisé par le client GUI dans la liste des téléphones actifs|
